휴게소명,고속도로,위도,경도,휴게소종류,운영시간,방향,주요편의시설,전화번호,데이터기준일,프랜차이즈매장
황간(서울),경부선,36.249437,127.854835,일반휴게소,00:00-23:59,서울방향,"식당, 편의점",문의 필요,2025-06-07,"로띠번, 로봇카페비트"
황전(순천),순천완주선,35.148905,127.454145,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,
황전(완주),순천완주선,35.153306,127.454683,일반휴게소,00:00-23:59,완주방향,"식당, 편의점",문의 필요,2025-06-07,"파리바게트 , 배스킨라빈스 , 던킨도너츠 , 파스쿠치"
횡성(강릉),영동선,37.462755,128.133969,일반휴게소,00:00-23:59,강릉방향,"식당, 편의점",문의 필요,2025-06-07,탐앤탐스
횡성(인천),영동선,37.464983,128.135449,일반휴게소,00:00-23:59,인천방향,"식당, 편의점",문의 필요,2025-06-07,
문경(창원),중부내륙선,36.620549,128.149982,화물차휴게소,00:00-23:59,창원방향,"식당, 편의점, 샤워실",문의 필요,2025-06-07,
문막(강릉),영동선,37.335469,127.8582201,일반휴게소,00:00-23:59,강릉방향,"식당, 편의점",문의 필요,2025-06-07,"엔제리너스 , 드롭탑"
문막(인천),영동선,37.297853,127.817261,일반휴게소,00:00-23:59,인천방향,"식당, 편의점",문의 필요,2025-06-07,"엔제리너스 , 로띠번 , 드롭탑"
문산(순천),남해선,35.171374,128.151591,일반휴게소,00:00-23:59,순천방향,"식당, 편의점",문의 필요,2025-06-07,
문의청남대(영덕),당진영덕선,36.542544,127.483797,일반휴게소,00:00-23:59,영덕방향,"식당, 편의점",문의 필요,2025-06-07,
서여주(양평),중부내륙,37.278607,127.580501,간이휴게소,00:00-23:59,양평방향,기본 시설만,문의 필요,2025-06-07,
서여주(창원),중부내륙,37.279412,127.578083,간이휴게소,00:00-23:59,창원방향,기본 시설만,문의 필요,2025-06-07,
서울만남(부산),경부선,37.460166,127.041908,일반휴게소,00:00-23:59,부산방향,"수유실, 수면실, 샤워실, 세탁실, 농산물판매장, 약국, 쉼터, 탐앤탐스 외 브랜드매장",02-578-3372,2025-06-07,"탐앤탐스 , 할리스커피"
서천(목포),서해안선,36.129505,126.626485,일반휴게소,00:00-23:59,목포방향,"식당, 편의점",문의 필요,2025-06-07,"할리스커피 , 드롭탑"
